"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"57","狮子王","1994/美国/剧情动画冒险歌舞家庭","8.9","338030人评价","动物版《哈姆雷特》。"
"58","美国往事","1984/意大利美国/犯罪剧情","9.1","205642人评价","往事如烟，无处祭奠。"
"59","钢琴家","2002/法国德国英国波兰/剧情传记历史战争音乐","9.0","237539人评价","音乐能化解仇恨。"
"60","小鞋子","1997/伊朗/剧情家庭儿童","9.2","170176人评价","奔跑的孩子是天使。"
"61","七宗罪","1995/美国/剧情犯罪悬疑惊悚","8.8","499155人评价","警察抓小偷，老鼠玩死猫。"
"62","被嫌弃的松子的一生","2006/日本/剧情歌舞","8.9","354308人评价","以戏谑来戏谑戏谑。"
"63","致命魔术","2006/美国英国/剧情悬疑惊悚","8.8","405969人评价","孪生蝙蝠侠大战克隆金刚狼。"
"64","天使爱美丽","2001/法国德国/喜剧爱情","8.7","555995人评价","法式小清新。 "
"65","本杰明·巴顿奇事","2008/美国/剧情爱情奇幻","8.8","460833人评价","在时间之河里感受溺水之苦。"
"66","西西里的美丽传说","2000/意大利美国/剧情战争情色","8.8","426131人评价","美丽无罪。"
"67","音乐之声","1965/美国/剧情传记爱情歌舞","8.9","271322人评价","用音乐化解仇恨，让歌声串起美好。"
"68","黑客帝国","1999/美国澳大利亚/动作科幻","8.9","336748人评价","视觉革命。"
"69","让子弹飞","2010/中国大陆香港/剧情喜剧动作西部","8.7","748499人评价","你给我翻译翻译，神马叫做TMD的惊喜。"
"70","拯救大兵瑞恩","1998/美国/剧情历史战争","8.9","288430人评价","美利坚精神输出大片No1."
"71","看不见的客人","2016/西班牙/剧情犯罪悬疑惊悚","8.7","443119人评价","你以为你以为的就是你以为的。"
"72","低俗小说","1994/美国/剧情喜剧犯罪","8.8","396712人评价","故事的高级讲法。"
"73","勇敢的心","1995/美国/动作传记剧情历史战争","8.8","334257人评价","史诗大片的典范。"
"74","剪刀手爱德华","1990/美国/剧情奇幻爱情","8.7","561930人评价","浪漫忧郁的成人童话。"
"75","沉默的羔羊","1991/美国/剧情犯罪惊悚","8.8","408632人评价","安东尼·霍普金斯的顶级表演。"
"76","末代皇帝","1987/英国意大利中国大陆法国美国/剧情传记历史","9.0","219470人评价","“不要跟我比惨，我比你更惨”再适合这部电影不过了。"
"77","大闹天宫","1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻","9.3","128506人评价","经典之作，历久弥新。"
"78","蝴蝶效应","2004/美国加拿大/剧情悬疑科幻惊悚","8.7","446101人评价","人的命运被自己瞬间的抉择改变。"
"79","入殓师","2008/日本/剧情","8.8","354443人评价","死可能是一道门，逝去并不是终结，而是超越，走向下一程。"
"80","春光乍泄","1997/香港日本韩国/剧情爱情同性","8.8","292607人评价","爱情纠缠，男女一致。"
"81","心灵捕手","1997/美国/剧情","8.8","322413人评价","人生中应该拥有这样的一段豁然开朗。"
"82","哈利·波特与魔法石","2001/美国英国/奇幻冒险","8.8","324837人评价","童话世界的开端。"
"83","玛丽和马克思","2009/澳大利亚/剧情动画","8.9","257233人评价","你是我最好的朋友，你是我唯一的朋友 。"
"84","阳光灿烂的日子","1994/中国大陆香港/剧情","8.8","318569人评价","一场华丽的意淫。"
"85","布达佩斯大饭店","2014/美国德国英国/剧情喜剧冒险","8.8","385040人评价","小清新的故事里注入了大历史的情怀。"
"86","禁闭岛","2010/美国/剧情悬疑惊悚","8.7","425056人评价","昔日翩翩少年，今日大腹便便。"
"87","幽灵公主","1997/日本/动画奇幻冒险","8.8","272444人评价","人与自然的战争史诗。"
"88","第六感","1999/美国/剧情悬疑惊悚","8.8","272013人评价","深入内心的恐怖，出人意料的结局。"
"89","猫鼠游戏","2002/美国加拿大/传记犯罪剧情","8.8","284470人评价","骗子大师和执著警探的你追我跑故事。 "
"90","重庆森林","1994/香港/剧情爱情","8.7","387387人评价","寂寞没有期限。"
"91","狩猎","2012/丹麦瑞典/剧情","9.1","158815人评价","人言可畏。"
"92","致命ID","2003/美国/剧情悬疑惊悚","8.7","373259人评价","最不可能的那个人永远是最可能的。"
"93","断背山","2005/美国加拿大/剧情爱情同性家庭","8.7","371416人评价","每个人心中都有一座断背山。"
"94","大鱼","2003/美国/剧情家庭奇幻冒险","8.7","291337人评价","抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。"
"95","穿条纹睡衣的男孩","2008/英国美国/剧情战争","8.9","184240人评价","尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。"
"96","加勒比海盗","2003/美国/动作冒险奇幻","8.6","407844人评价","约翰尼·德普的独角戏。"
"97","告白","2010/日本/剧情惊悚","8.7","394426人评价","没有一人完全善，也没有一人完全恶。"
"98","甜蜜蜜","1996/香港/剧情爱情","8.8","262516人评价","相逢只要一瞬间，等待却像是一辈子。"
