"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"240","遗愿清单","2007/美国/冒险喜剧剧情","8.5","147162人评价","用剩余不多的时间，去燃烧整个生命。"
"241","穆赫兰道","2001/法国美国/剧情悬疑惊悚","8.3","256320人评价","大卫·林奇的梦境迷宫。"
"242","我爱你","2011/韩国/剧情爱情","9.0","65791人评价","你要相信，这世上真的有爱存在，不管在什么年纪 "
"243","叫我第一名","2008/美国/剧情传记","8.6","118214人评价","乐观比一切都有力量。"
"244","枪火","1999/香港/剧情动作犯罪","8.6","110486人评价","一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。"
"245","荒岛余生","2000/美国/冒险剧情","8.5","151089人评价","一个人的独角戏。"
"246","2001太空漫游","1968/英国美国/科幻惊悚冒险","8.7","107181人评价","现代科幻电影的开山之作，最伟大导演的最伟大影片。"
"247","上帝也疯狂","1980/博茨瓦纳南非/喜剧","8.6","104217人评价","纯净原始的笑与感动。"
"248","千钧一发","1997/美国/剧情科幻惊悚","8.7","97525人评价","一部能引人思考的科幻励志片。"
"249","大卫·戈尔的一生","2003/美国德国英国/剧情犯罪悬疑","8.6","106469人评价","捍卫人权只是信仰，一点不妨碍其行为的残忍。"
"250","蓝色大门","2002/台湾法国/剧情爱情同性","8.3","290853人评价","青春的窃窃私语。 "
